MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y, , ,Nifty 50,     23217.60,     23195.25,     23363.55,     23193.65,     23270.60,982222108345.96,4137796796,Y, ,38201956,     26373.20,     22182.55
Y, , ,NIFTY50 EQL Wgt,     31669.65,     31651.90,     31969.35,     31647.85,     31892.30,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY100 EQL Wgt,     33426.35,     33413.30,     33760.90,     33412.55,     33705.70,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY100 LowVol30,     19298.70,     19281.75,     19416.85,     19270.80,     19378.85,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY Alpha 50,     54665.60,     54610.35,     55204.25,     54547.75,     55090.40,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY MIDCAP 150,     22368.80,     22375.20,     22624.05,     22356.95,     22568.85,0.00,0,Y, ,0,     23647.50,     19218.00
Y, , ,NIFTY SMLCAP 50,      9698.10,      9685.75,      9812.25,      9683.95,      9787.75,0.00,0,Y, ,0,     10067.95,      7338.35
Y, , ,NIFTY SMLCAP 250,     17863.30,     17842.70,     18047.10,     17837.05,     18009.25,0.00,0,Y, ,0,     18551.00,     14143.45
Y, , ,NIFTY MIDSML 400,     20744.90,     20740.55,     20968.85,     20727.60,     20924.90,0.00,0,Y, ,0,     21770.30,     17390.85
Y, , ,NIFTY200 QUALTY30,     19496.35,     19478.50,     19638.25,     19470.80,     19575.40,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty FinSrv25 50,     27291.55,     27243.45,     27534.15,     27222.00,     27394.30,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY AlphaLowVol,     25954.05,     25955.75,     26180.00,     25944.25,     26101.00,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty200Momentm30,     29703.50,     29716.45,     30156.90,     29692.75,     30130.50,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty100ESGSecLdr,      3883.95,      3881.20,      3911.80,      3880.45,      3895.05,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY100 ESG,      4807.05,      4802.70,      4847.80,      4801.75,      4830.50,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY M150 QLTY50,     23207.15,     23210.75,     23420.05,     23188.65,     23397.55,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY INDIA MFG,     15615.90,     15618.50,     15852.15,     15617.70,     15826.65,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty200 Alpha 30,     25750.15,     25747.75,     26078.85,     25734.00,     26051.65,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NiftyM150Momntm50,     61752.25,     61776.75,     62634.45,     61711.50,     62486.10,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty50 USD,      8383.75,      8383.75,      8459.75,      8360.90,      8403.70,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty IT,     29087.65,     28918.75,     29406.65,     28805.40,     29155.60,0.00,0,Y, ,0,     40301.40,     25699.10
Y, , ,Nifty Next 50,     70368.60,     70374.40,     71188.50,     70372.15,     71144.00,0.00,0,Y, ,0,     75000.40,     59896.10
Y, , ,Nifty Bank,     56292.45,     56126.60,     56570.45,     56038.50,     56055.75,0.00,0,Y, ,0,     61764.85,     49954.85
Y, , ,NIFTY MIDCAP 100,     60874.20,     60890.70,     61593.20,     60850.80,     61432.10,0.00,0,Y, ,0,     64450.90,     52032.85
Y, , ,Nifty 500,     22532.00,     22518.75,     22718.85,     22515.85,     22654.65,0.00,0,Y, ,0,     24144.20,     20385.65
Y, , ,Nifty 100,     24282.95,     24264.30,     24456.25,     24262.90,     24377.75,0.00,0,Y, ,0,     26975.15,     22720.45
Y, , ,Nifty Midcap 50,     17560.10,     17567.25,     17789.80,     17561.60,     17728.75,0.00,0,Y, ,0,     18500.95,     14804.55
Y, , ,Nifty Realty,       822.30,       823.00,       840.20,       820.45,       834.25,0.00,0,Y, ,0,       974.50,       638.65
Y, , ,Nifty Infra,      8908.70,      8929.70,      8997.70,      8929.50,      8969.30,0.00,0,Y, ,0,      9792.60,      8426.65
Y, , ,Nifty Energy,     37183.40,     37209.10,     37428.10,     37203.75,     37381.75,0.00,0,Y, ,0,     41828.55,     32890.30
Y, , ,Nifty FMCG,     45559.00,     45590.20,     45883.15,     45559.25,     45572.70,0.00,0,Y, ,0,     57445.20,     44825.60
Y, , ,Nifty MNC,     31115.00,     31119.65,     31388.20,     31099.50,     31296.30,0.00,0,Y, ,0,     34028.00,     27597.20
